Bar,Beer,Type,Price
The Queen Victoria,Schwarzbier,beer,12.0658471
The Winchester Club,Honey Light,beer,14.74412369
Frostfruit Inn,Abbey Belgian Style Ale,beer,12.77953783
The Broken Stool,Raspberry Wheat,beer,13.38778874
Night Spot,Black Hawk Stout,beer,12.160211
Milliway's,Ale,beer,10.68362194
The Drowned Trout,Denver Pale Ale,beer,16.01016611
Underworld Tavern,Peg Leg Imperial Stout,beer,13.20205796
The Kit Kat Klub,Christmas Ale,beer,9.830428406
The Thorax Bar,Transatlantique Kriek,beer,10.22925008
The Last Chance Saloon,Curve Ball Kolsch,beer,9.323136949
Windpeak Inn,Heresy Imperial Stout,beer,10.15357989
Silver,Organic Belgian Ale,beer,12.81345971
The Drunken Huntsman,Kolsch,beer,9.189739237
"The Hand & Racquet, East Cheam",Kellerweis,beer,13.07633031
Boobies,Bear Pale Ale,beer,15.93717416
O'Malley's Bar,Mad Elf,beer,13.4128899
Korova Milk Bar,Weisse Dark,beer,11.85210944
Maccadam's Old Oil House,Oak Aged Beer,beer,14.90215827
The Railway Arms,Lemon Hooch,beer,9.920006331
Corrado Italian Bistro,Apple Spice,beer,14.09117959
The Mucky Duck,Perfect Porter,beer,13.42304118
Trees Lounge,Heather Ale,beer,14.43507066
The Duke Of Burgundy,Enigma,beer,12.4933369
Scarlet Raven Tavern,Dunkle Weisse,beer,11.78839621
Mr. Pubbs,Ale,beer,11.68362194
Bob's Country Bunker,Jockamo IPA,beer,15.90495884
The King and Queen Tavern,Copper Ale,beer,10.20480885
Poison,Pub Lager,beer,13.83182923
The Butchers Arms,Midas Touch,beer,13.92880928
Old Prospector Saloon,Witches Brew,beer,9.663543371
Founding Fathers,Pilsner,beer,10.67283622
The Rose & Crown,Cleary Red Amber Ale,beer,8.099219614
Bunnys,Black Mocha Stout,beer,12.17523294
Founding Fathers,Midas Touch,beer,12.92880928
Vardi's,Woman From Hell Extra IPA,beer,9.062217567
O'Malley's Bar,Liberty Ale,beer,13.14123845
Border Watch Inn,Rye Porter,beer,13.2475116
The Tall Ship,Monk Madness Ale,beer,13.34756422
Cooper's,Pale Beer,beer,12.14944704
Wurstbraterei,Triple Abbey Ale,beer,8.662281006
The Ivy Bush,Hibernator,beer,13.55060219
The Winchester Tavern,India Dark Ale,beer,11.67352483
Jack Rabbit Slim's,Framboise,beer,11.71469721
Gus's Galaxy Grill,British Ale,beer,10.02251754
Lucky Lockup,V-Twelve,beer,10.31640671
The Learned Goat,Beer,beer,14.63541994
Free the Paedos,Winter Lager,beer,11.20383688
Boobies,Keg Can,beer,13.31897606
Snakehole Lounge,Bruin,beer,10.19391569
The Snug,Chipotle Ale,beer,9.169819239
Candlehearth Hall,Dogtoberfest,beer,12.4581757
The Cap & Bell,Dogtoberfest,beer,10.4581757
Frostfruit Inn,Maibock,beer,12.02560655
Corrado Italian Bistro,Summerfest,beer,15.60933244
The Crab Shed,High Life Light,beer,12.7291037
The Oak and Crosier,Sawtooth Ale,beer,10.67503961
The Eolian,Canadian,beer,9.683447747
Fortune Casino,Noire,beer,13.34416099
The Bronze,Cherry Stout,beer,9.035004819
The Bamboo Lounge,Oatmeal Stout,beer,10.14450163
Poison,Hibernator,beer,14.55060219
Elfsong Tavern,Spotted Cow Ale,beer,12.10721819
Joe's,Weissbier,beer,13.20937054
The Woolpack,Haymaker Extra Pale Ale,beer,15.83968715
Corrado Italian Bistro,Red Jack,beer,16.33124331
The Bada Bing,Pedigree,beer,10.23296028
The Cap & Bell,Yeti Oak Aged Imperial Stout,beer,10.6749208
Tabard,Monk Madness Ale,beer,12.34756422
The Rusty Anchor,Butte Porter,beer,11.15055629
Cafe Rene,Perros Ale,beer,12.01127678
Bodarks Bus Stop Restaurant,Elfego Bock,beer,10.93389841
Rowlf's Tavern,Equis,beer,8.611567941
Rosie's Bar,14er's ESB,beer,11.08455467
O'Malley's Bar,Haymaker Extra Pale Ale,beer,15.83968715
The Drunken Huntsman,Dort,beer,8.14800694
Salieri's Bar,Autumnal Fire,beer,13.09864778
The Bloated Float Inn,Hi Dry,beer,14.00260384
The Woolpack,V-Twelve,beer,15.31640671
The Cap & Bell,Special Bitter,beer,10.88131588
The Rusty Anchor,Rally Cap Ale,beer,11.27104248
Seagrass,Imperial Pale Ale,beer,11.23265988
The Oak and Crosier,Merry Monks' Ale,beer,11.37942648
Cafe Rene,Black Porter,beer,10.46892038
Tabard,Imperial Saison,beer,14.9216025
The Boom Boom Room,Woodstock Wheat,beer,10.58659834
Korova Milk Bar,Bitter,beer,11.07331971
The Snug,Kaper,beer,9.342179976
The Cat & Fiddle,Perros Ale,beer,11.01127678
The Cap & Bell,Mai-Ur-Bock,beer,10.70448936
Snakehole Lounge,Weisse Dark,beer,9.852109439
Shooters,Apple Spice,beer,14.09117959
The Aigburth Arms,Weissbier Dunkel,beer,12.7167395
Dal Riata,Spring Bock,beer,15.039615
The Pig and Whistle,Old Speckled Hen,beer,11.80593185
Grilby's,He'Brew Jewbelation 13 Bar Mitzvah,beer,13.5195135
Playaz Club,Outlaw Lager,beer,12.29743004
Shooters,Belgian Style Golden Ale,beer,16.13616636
SaxonwoldShebeen,Gubna Imperial IPA,beer,12.85419867
Essence,Premium Lager,beer,9.490682308
The Plumbers Arms,Dead Guy Ale,beer,10.83035174
O'Malley's Bar,Alligator Ale,beer,13.89450477
Rowlf's Tavern,Rally Cap Ale,beer,8.27104248
The Lamb & Flag,St. Stock Ale,beer,13.70850209
Joe's,Douglas Ale,beer,11.68174598
The Pig and Whistle,Blonde French Golden Ale,beer,13.11818117
Founding Fathers,Pale Rider,beer,10.64523937
Seagrass,Gold,beer,11.38772189
Levy's,One Porter,beer,14.97737954
The Tropicana,Damm,beer,12.5563461
St. Elmo's Bar,Brutal Bitter,beer,14.60861447
The Silver Dollar Saloon,Black Wattle Superior,beer,13.54343009
The Bull,Premium Light,beer,11.74733737
Essence,Pub Ale,beer,9.197400254
World's End Tavern,Blackberry Wheat,beer,13.65152001
The Pool Hall,Quesadillas,food,9.79
Sandbox,Brewmaster's Select,beer,10.9006346
The King and Queen Tavern,de Chambly,beer,10.48983357
The Queen Victoria,Brau-Weisse,beer,10.07277843
Bodarks Bus Stop Restaurant,Loft Beer,beer,11.07219139
Porky's,Pub Draught,beer,10.80092554
Wonder Bar,Biersch Maibock,beer,12.11259178
Central Perk,Bière Farmhouse Ale,beer,10.42211225
Alibi Bar,Classica,beer,15.20037924
Dexter Lake Club,Pale Rider,beer,12.64523937
SaxonwoldShebeen,Pilsner,beer,13.67283622
Jack Rabbit Slim's,Auburn Ale,beer,11.63551019
Kadie's Club Pecos,Denver Pale Ale,beer,16.01016611
The Earl Of Osbourne,#5 Gold Beer,beer,12.05971261
The Malt Shovel,Witte,beer,9.700015368
The Rose & Thorn,Two Women New,beer,14.44041965
Salieri's Bar,Pretzel,food,9.04
Underworld Tavern,Revenge Brown Ale,beer,15.26435861
Talon Bar,Aprihop,beer,15.87028123
Sandbox,Unfiltered Wheat Beer,beer,10.58088242
The Earl Of Osbourne,Pale Bock,beer,14.10933583
Seagrass,Pale Beer,beer,13.14944704
Boobies,Blonde Doppelbock,beer,15.79326622
Charlie's,White Biere,beer,14.74879085
Copa,Red Amber Ale,beer,13.86258515
The Silver Dollar Saloon,Belgian-Style Golden Ale,beer,16.22425907
Mos Eisley Cantina,Hammer Imperial Porter,beer,10.3947359
John McRory's Place,Blackjack Ale,beer,11.07890321
Roulette,Pub Lager,beer,10.83182923
Dead Man's Drink,High Life Light,beer,10.7291037
Silver,Burton Baton,beer,14.69357612
Gus's Galaxy Grill,Honey Weiss,beer,9.118604897
Cafe Rene,Stout,beer,11.89629825
Deville,Perfect Porter,beer,13.42304118
The Cat & Fiddle,Enigma,beer,8.493336899
The Elephant,Country Chase Ale,beer,13.86549984
Mr. Pubbs,Two Women New,beer,13.44041965
The Lamb & Flag,Bear Pale Ale,beer,12.93717416
Candlehearth Hall,Sawtooth Ale,beer,10.67503961
Free the Paedos,Mountain Five Malt Ale,beer,10.84317575
World's End Tavern,Abbey Ale,beer,12.69714708
Low Point,Woodstock Wheat,beer,10.58659834
Dead Man's Drink,Red Banshee Ale,beer,9.497131576
Kennedy's,Koelsch,beer,15.22125947
The Ivy Bush,Diesel Lager Beer,beer,14.52679251
Rolliver's Inn,Matilda,beer,14.77675048
The Pilgrim's Rest,Imperial Saison,beer,15.9216025
The Thorax Bar,Scotch Ale,beer,11.04191238
Low Point,Red Label,beer,9.243372184
Grilby's,Hercules Double IPA,beer,12.22730006
The Frozen Hearth,Dancing Man Wheat,beer,14.65655364
Table Salt,London Pride,beer,15.57636677
Windpeak Inn,Honey Cream Ale,beer,10.27566054
Tabard,Mountain Kolsch,beer,14.77320471
Broken Keel Tavern,Loft Beer,beer,12.07219139
Dugout Inn,Curator Dunkler Doppelbock,beer,11.71609507
The Silver Dollar Saloon,Lauritz Pilsner,beer,16.66559826
The Silent Woman,Rugged Trail Nut Brown Ale,beer,8.052686671
Milk Club,Ultra,beer,10.44842697
Maccadam's Old Oil House,Golden Caramel Lager,beer,12.6060556
Dagmar,Knight,beer,15.44093569
Kavanagh's Irish Pub,Lauritz Pilsner,beer,12.66559826
The Tropicana,Dogtoberfest,beer,14.4581757
Kadie's Club Pecos,Amber Light,beer,13.51412652
Crab Shack,Dark Lager,beer,13.97832298
Bodarks Bus Stop Restaurant,Dale's Pale Ale,beer,9.685741821
Mr. Pubbs,Amber Bock,beer,13.60039908
Kennedy's,Western Premium Pilsner,beer,14.11878094
Kennedy's,Lemon Hooch,beer,13.92000633
Electric Psychedelic Pussycat Swingers Club,Golden Amber Ale,beer,11.24082244
Lusty Leopard,312 Urban Wheat Ale,beer,13.08499712
The Elephant,Buckwheat Ale,beer,12.50812651
The Bada Bing,Original Munich Lager,beer,10.45075979
The Place,Black Porter,beer,11.46892038
"The Hand & Racquet, East Cheam",Elfego Bock,beer,15.93389841
Vardi's,Turbodog,beer,10.46603984
The Yellow Flag,Bourbon Barrel Cherry Stout,beer,8.980853547
The Feed Bag,Lager Beer,beer,14.893697
Fangtasia,Kindl Weisse,beer,10.34385522
Milk Club,Keg Can,beer,9.318976055
Cafe Rene,Blue Fin Stout,beer,12.39145403
The Silver Dollar Saloon,High Life,beer,14.88736757
The Learned Goat,60 Minute IPA,beer,13.31762692
The Lion and Unicorn,Black Porter,beer,11.46892038
The Winchester Club,Mozzarella Sticks,food,9.11
Dexter Lake Club,Winter Ale,beer,13.27102832
The Broken Stool,Rider Ale,beer,14.84649456
Snakehole Lounge,Eye of the Hawk Ale,beer,10.86645965
Dino's Bar and Grill,Belgian Style Dubbel,beer,10.0625768
Cooper's,Saint Bridget's Porter,beer,13.2801891
Mr. Pubbs,Belgian Style Golden Ale,beer,13.13616636
Broken Keel Tavern,Cask Ale,beer,12.68379421
The Pie Hole,Turbodog,beer,12.46603984
The Rusty Anchor,Troegenator Doppelbock,beer,13.76984901
Fangtasia,Dubbel Belgian Abbey Ale,beer,9.051989993
Broome's,Scottish Ale,beer,12.59014746
Trees Lounge,Winter Skål,beer,15.4299418
Braidwood Inn,Butt English Porter,beer,15.00666304
Copacabana,Ale,beer,9.683621942
Torchy's,Abbey Belgian Style Ale,beer,14.77953783
Milk Club,Heather Ale,beer,11.43507066
Maccadam's Old Oil House,Western Lager,beer,11.23824641
Fangtasia,Rider Ale,beer,9.846494559
Scarlet Raven Tavern,XXX,beer,9.071794627
Kennedy's,Bear Irish Red,beer,13.19918483
Rick's Café Américain,Framboise,beer,11.71469721
Frostfruit Inn,Raspberry Wheat Ale,beer,10.55276597
Mad Dog Saloon,Triple Abbey Ale,beer,9.662281006
The Spotted Dog,Widow Oatmeal Stout,beer,12.39696608
Tabard,Wheat Beer,beer,14.52486496
Maccadam's Old Oil House,Pale Ale,beer,13.52198796
Torchy's,Traditional Welsh Ale,beer,14.53141724
The Broken Drum/The Mended Drum,Kaper,beer,8.342179976
Dugout Inn,Harvest Ale,beer,10.75678867
Romanoff's,Spring Bock,beer,14.039615
Talon Bar,River Porter,beer,13.79436462
Samoan Joe's,Bach,beer,10.82360198
Border Watch Inn,Ridge Bock Oktoberfest,beer,16.85454421
SaxonwoldShebeen,Nastro Azzurro,beer,13.1133803
The Frozen Hearth,Summer Brew,beer,15.56778006
P3,Pub Draught,beer,11.80092554
The Lion and Unicorn,Grand Cru,beer,11.75178771
Poison,India Export Pale Ale,beer,13.54397494
The Kebab & Calculator,Berry Weiss,beer,14.50596382
The King and Queen Tavern,Brau-Weisse,beer,11.07277843
The Tall Ship,Red Lager,beer,14.82638735
The Kit Kat Klub,Sheep Ale,beer,8.910865811
The Oak and Crosier,#3 Classic Lager,beer,12.16471181
Gus's Galaxy Grill,Raspberry Wheat Ale,beer,9.552765968
O'Malley's,Red Lager,beer,11.82638735
Boobies,India Export Pale Ale,beer,13.54397494
Central Perk,Imperial Pale Ale,beer,10.23265988
Candlehearth Hall,Red Irish Ale,beer,10.47627984
St. Elmo's Bar,American Ale,beer,14.03197828
The Hand of Glory,Weissbier Dunkel,beer,14.7167395
The Last Chance Saloon,Hex Nut Brown Ale,beer,8.918897332
Mr. Pubbs,Classica,beer,13.20037924
Palace Saloon,Black Porter,beer,12.46892038
Snakehole Lounge,Stout,beer,11.89629825
Broken Keel Tavern,Northern Light Ale,beer,9.425099634
The Winchester Club,Biersch Maibock,beer,13.11259178
Callahan's Place,Blanca,beer,14.21078808
The Earl Of Osbourne,Piva Bohemian Pilsner,beer,11.97420487
Cafe Rene,Celebration Ale,beer,9.404584061
Mama Chow's Fine Dining,Ridge Bock Oktoberfest,beer,13.85454421
Electric Psychedelic Pussycat Swingers Club,Nest Weizen,beer,13.87695102
Milk Club,Coldfoot Pilsner,beer,10.38834706
Broome's,Mud Black & Tan,beer,12.31747228
Noah's Bar,Celebration Lager,beer,14.70190361
The Leaky Cauldron,Mud Black & Tan,beer,12.31747228
The Pilgrim's Rest,Dead Guy Ale,beer,14.83035174
Noah's Bar,OV,beer,13.48738278
Braidwood Inn,Alligator Ale,beer,13.89450477
The Pool Hall,Pur Malt,beer,12.22635707
The Feed Bag,Black Hawk Stout,beer,16.160211
Rosie's Bar,Ultra,beer,9.448426974
The Orange Tree,Lager Beer,beer,10.893697
Gallow's End Tavern,Organic English Ale,beer,9.373805244
The Kit Kat Klub,Premium,beer,9.759259538
The Snug,Damm Daura,beer,9.942521305
The Pie Hole,Prospere,beer,13.43789173
The Ballroom,471 double IPA,beer,14.87545797
The Railway Arms,Export Ale,beer,8.897253767
Sandbox,Gold,beer,10.38772189
The Last Resort,Lemon Hooch,beer,13.92000633
Romanoff's,Western Lager,beer,11.23824641
The Spotted Dog,Doppelbock,beer,15.31695915
The Frozen Hearth,Wych Ale,beer,15.34145765
Louie's,Golden Ale,beer,9.661445627
Kelcy's,Red Banshee Ale,beer,10.49713158
Copa,Fat Tire Amber Ale,beer,15.64250989
Electric Psychedelic Pussycat Swingers Club,Hammer IPA,beer,13.26910375
Windpeak Inn,Elephant Lager,beer,8.596544744
Brady Pub,Head World Wide Stout,beer,12.12209039
Milliway's,Elephant Lager,beer,9.596544744
The Silver Dollar Saloon,Honey Brown,beer,13.19057994
Braidwood Inn,High Life Light,beer,15.7291037
Elfsong Tavern,Wheat,beer,13.01801981
Elfsong Tavern,Eye of the Hawk Ale,beer,13.86645965
Rosie's Bar,Weizen-Eisbock,beer,9.214641577
The Plumbers Arms,River Vienna Lager,beer,9.365434104
Scarlet Raven Tavern,Peanuts,food,7.53
The Ivy Bush,Rider Ale,beer,13.84649456
The Learned Goat,Copper Ale,beer,11.20480885
The Queen Victoria,Brewery Kasteel Donker,beer,11.45954248
Charlie's,Macaroni and Cheese,food,9.42
The Bamboo Lounge,Traditional Red Ale,beer,10.08894809
Dagmar,Honey Wheat,beer,15.93846131
The Queen Victoria,Honey Cream Ale,beer,11.27566054
The Aigburth Arms,Mom Hefeweizen,beer,11.68087969
Fangtasia,Abbey Ale,beer,8.697147085
Rovers Return Inn,Old Chub Scottish Style Ale,beer,15.83233123
Mos Eisley Cantina,Grand Cru,beer,10.75178771
The Bada Bing,Golden Amber Ale,beer,11.24082244
Alibi Bar,Hefe-Weizen,beer,12.2973098
The Frozen Hearth,Wheat,beer,13.01801981
The Drowned Trout,Native Ale,beer,15.78553317
Broken Keel Tavern,Chocolate Stout,beer,10.31996597
Eden Hall,Horseshoe,beer,11.25962291
The Woolpack,Winter Amber Ale,beer,13.17179935
Samoan Joe's,Hefe-Weisse,beer,10.63378057
The Plumbers Arms,Old Chub Scottish Style Ale,beer,10.83233123
Rovers Return Inn,Lightning Bold Gold,beer,16.69584671
Dexter Lake Club,Hat Circus Boy Hefeweizen,beer,11.10390375
Kadie's Club Pecos,India Dark Ale,beer,16.67352483
Wonder Bar,Western Lager,beer,10.23824641
Gus's Galaxy Grill,Dunkle Weisse,beer,12.78839621
McAnally's,Winter Skål,beer,13.4299418
Rovers Return Inn,Black Strap Stout,beer,15.65107185
The Duke Of Burgundy,Beer,beer,15.63541994
Milliway's,Hopfen-Weisse,beer,11.79035825
The Frozen Hearth,Lightning Bold Gold,beer,15.69584671
Deville,Kolsch,beer,12.18973924
The Bada Bing,Light Ale,beer,10.63889088
The Feed Bag,#5 Gold Beer,beer,14.05971261
The Drunken Huntsman,Hazelnut Brown Nectar,beer,10.72698446
Lusty Leopard,Summerfest,beer,12.60933244
The Rose & Thorn,Hop Devil Ale,beer,11.21730411
Joe's,Pikantus Dunkler Weizenbock,beer,12.87247119
The Rusty Anchor,Dancing Man Wheat,beer,13.65655364
Quark's,Morimoto Black Obi,beer,13.18709489
Y Deri Arms,Hefeweizen,beer,14.77941702
The Pie Hole,Special Lager,beer,13.42210031
Bodarks Bus Stop Restaurant,Bavarian Lager,beer,9.328723125
Rovers Return Inn,Titan IPA,beer,15.07172573
Gallow's End Tavern,Endo IPA,beer,9.243667261
Broken Keel Tavern,Bear Pale Ale,beer,11.93717416
Salty Sailor Tavern,Prima Pils,beer,15.0458074
Pedro McKinnon,Aprihop,beer,16.87028123
The Pie Hole,Berry Weiss,beer,13.50596382
SaxonwoldShebeen,Hefeweizen,beer,13.77941702
The Frozen Hearth,Einbock,beer,13.67393065
SaxonwoldShebeen,Hammerhead Red Ale,beer,13.84579531
The Pie Hole,Blonde,beer,11.81034772
Broome's,Sawtooth Ale,beer,10.67503961
O'Malley's Bar,Doggie Style Classic Pale Ale,beer,16.00935707
The Prancing Pony,Pizza,food,9.28
The Prancing Pony,Lightning Bold Gold,beer,12.69584671
Dagmar,Imperial Saison,beer,16.9216025
Joe's,Baltic Porter,beer,12.78257987
World's End Tavern,Old Speckled Hen,beer,13.80593185
Founding Fathers,Best Light,beer,12.24797315
The Malt Shovel,Cask Ale,beer,11.68379421
Wonder Bar,Beer,beer,13.63541994
Colonial Taphouse,Oatmeal Stout,beer,8.14450163
The Pie Hole,Widow Oatmeal Stout,beer,11.39696608
Palace Saloon,Lightning Bold Gold,beer,14.69584671
Dagmar,St. Terese's Pale Ale,beer,16.38163605
Tabard,Two Women New,beer,14.44041965
The Eolian,Gonzo Imperial Porter,beer,9.815243091
Low Point,Hazelnut Brown Nectar,beer,11.72698446
P3,Hammer IPA,beer,14.26910375
Boobies,Hop Devil Ale,beer,13.21730411
Low Point,Oscura,beer,9.846940022
The Feed Bag,Knight,beer,15.44093569
The Elephant,Merry Monks' Ale,beer,13.37942648
The Duke Of Burgundy,Best Light,beer,15.24797315
Playaz Club,Road Dog Scottish Porter,beer,14.48947722
The Crab Shed,Hazelnut Brown Nectar,beer,12.72698446
Pedro McKinnon,One Porter,beer,14.97737954
Alibi Bar,Morimoto Black Obi,beer,15.18709489
Maccadam's Old Oil House,Red Rush Ale,beer,14.41215583
Vardi's,Dorada,beer,10.09315816
The Aidensfield Arms,Summer Brew,beer,16.56778006
The Tall Ship,Hefeweizen,beer,13.77941702
Eden Hall,Macaroni and Cheese,food,8.42
The Hand of Glory,Gaelic Ale,beer,16.5011261
Joe's,Hammer IPA,beer,13.26910375
Louie's,Curve Ball Kolsch,beer,10.32313695
Silver,Woman From Hell Extra IPA,beer,11.06221757
World's End Tavern,Crow Ale,beer,14.5397883
Copa,Old Numbskull,beer,15.72026033
The Bronze,Old Brown Ale,beer,11.98360337
Broken Keel Tavern,Woody Creek White,beer,10.25612826
Daddy Crab Leg's Crab Shack,ESB,beer,14.54738914
The Plot and Plaster,Blue Fin Stout,beer,16.39145403
The Queen Victoria,High Life,beer,10.88736757
The King and Queen Tavern,York Harbor Ale,beer,13.15703698
Charlie's,Kloster Weizen,beer,14.54177724
The Snug,Unfiltered Wheat Beer,beer,9.580882418
The Armada Room,Extra Special Ale,beer,11.56721951
Border Watch Inn,Red Tail Ale,beer,14.8744648
Shooters,Pale Beer,beer,15.14944704
The Brick,Anniversary Ale,beer,8.146869952
The Old Haunt,Sliders,food,9.64
The Silent Woman,Oat Malt Stout,beer,10.76624426
The Tall Ship,Baron Ale,beer,14.18135174
Electric Psychedelic Pussycat Swingers Club,Chesterfield Ale,beer,12.27100842
Bunnys,Hex Nut Brown Ale,beer,11.91889733
The Hand of Glory,Curly Tail Ale,beer,15.46481697
"The Hand & Racquet, East Cheam",Honey Wheat,beer,15.93846131
The Feathers,Winter Skål,beer,12.4299418
Central Perk,Midas Touch,beer,13.92880928
The Prancing Pony,Black Porter,beer,10.46892038
The Bronze,Der Weisse Bock,beer,11.76681869
The Spotted Dog,Bavarian Style Lager,beer,15.01522014
The Learned Goat,Republic Red Rocket Ale,beer,13.6082831
De Rossi's Wine Bar,Copper Ale,beer,12.20480885
The Duke Of Burgundy,All Natural Tripel Blonde Ale,beer,12.86468998
The Earl Of Osbourne,Troegenator Doppelbock,beer,13.76984901
Rovers Return Inn,Red Tail Ale,beer,14.8744648
Dexter Lake Club,Black Porter,beer,12.46892038
Cocktails and Dreams,Chips,food,7.78
Poison,Hop Devil Ale,beer,13.21730411
The Drowned Trout,Bourbon Barrel Cherry Stout,beer,13.98085355
The Crab Shed,Auburn Ale,beer,10.63551019
Talon Bar,Kilgubbin Red Ale,beer,13.24512082
Eden Hall,Pur Malt,beer,13.22635707
The Rose & Crown,Outlaw Lager,beer,8.297430045
The Feathers,Vintage Ale,beer,12.78488259
The Aidensfield Arms,Honey Lager,beer,15.25745025
Wurstbraterei,Original Leipziger Bier,beer,9.833836073
St. Elmo's Bar,Irish Stone Brewed Light,beer,15.94367414
MacLaren's Pub,Sparkling Ale,beer,12.10233613
The Drunken Huntsman,Hen's Tooth,beer,8.236310038
Cocktails and Dreams,Woman From Hell Extra IPA,beer,8.062217567
The Armada Room,Hat Blind Faith,beer,10.16029423
Bob's Country Bunker,Bohemian Wheat Lager,beer,16.6365102
Corrado Italian Bistro,Western Premium Pilsner,beer,15.11878094
Dagmar,Curve Ball Kolsch,beer,14.32313695
The Bronze,Apple Ale,beer,10.91521934
The Crab Shed,Rugged Trail Nut Brown Ale,beer,10.05268667
The Silver Dollar Saloon,Lager,beer,15.67466054
Daddy Crab Leg's Crab Shack,Ridge Bock Oktoberfest,beer,16.85454421
Callahan's Place,Moon Man,beer,14.45748689
The Pool Hall,Bear Irish Red,beer,10.19918483
The Place,Red Label,beer,10.24337218
The Silent Woman,Kilgubbin Red Ale,beer,9.245120816
The Aigburth Arms,Weisse,beer,12.61754716
Central Perk,Organic English Ale,beer,11.37380524
Trees Lounge,Hen's Tooth,beer,12.23631004
Rolliver's Inn,Irish Lager,beer,15.59427726
Founding Fathers,Salvation,beer,12.13766106
Cafe Rene,Imperial Saison,beer,12.9216025
The Elephant,Harbor Real Ale,beer,13.86178177
The Snug,Hennepin,beer,11.46547181
The Rusty Anchor,471 double IPA,beer,14.87545797
The Bull,Baltic Porter,beer,12.78257987
The King and Queen Tavern,Organic Belgian Ale,beer,11.81345971
The Bada Bing,Black Strap Stout,beer,12.65107185
Colonial Taphouse,Red Banshee Ale,beer,9.497131576
The Moon Under Water,Bier,beer,11.67460332
Lusty Leopard,Belgian Style Dubbel,beer,10.0625768
SaxonwoldShebeen,Imperial Saison,beer,15.9216025
Sandbox,Endo IPA,beer,11.24366726
Silver,Amber,beer,11.96165882
The Malt Shovel,Summer Ale,beer,10.52467837
St. Elmo's Bar,Lager Beer,beer,13.893697
The Lamb & Flag,New York Amber,beer,13.62169209
The Brick,La Folie,beer,11.78005201
Cockatoo Inn,Pub Lager,beer,12.83182923
Founding Fathers,Maibock,beer,11.02560655
The Buck's Head Inn,Aprihop,beer,15.87028123
Torchy's,He'Brew Jewbelation 13 Bar Mitzvah,beer,13.5195135
The Drunken Clam,Harbor Real Ale,beer,14.86178177
Cockatoo Inn,Brau-Weisse,beer,13.07277843
The Butchers Arms,Noire,beer,13.34416099
The Snug,Honey Red,beer,11.56215667
The Pool Hall,Elbow,beer,10.22102109
John McRory's Place,Nastro Azzurro,beer,11.1133803
The Drunken Huntsman,Butte Porter,beer,8.150556289
Salty Sailor Tavern,Copper Creek Amber Ale,beer,14.66274414
Elfsong Tavern,Drool Brown Ale,beer,13.68759319
Cocktails and Dreams,Alkoholfrei,beer,10.54972599
The Feed Bag,Tripel Reserve,beer,13.21948223
The Lion and Unicorn,Classica,beer,13.20037924
The Plumbers Arms,Buckwheat Ale,beer,8.508126508
The Elephant,Oktoberfest Marzen Amber,beer,12.06281297
Daddy Crab Leg's Crab Shack,Bavarian X-Winter,beer,13.69562213
The Kebab & Calculator,Enigma,beer,12.4933369
The Frozen Hearth,Triple Abbey Ale,beer,12.66228101
Milk Club,Extra Special Ale,beer,10.56721951
The Mucky Duck,Steam,beer,14.78547807
Duke's Pub,Revenge Brown Ale,beer,14.26435861
Wandin Valley RSL,Hi Dry,beer,10.00260384
The Orange Tree,Golden Amber Ale,beer,10.24082244
Poor Richard's,Golden Pilsner,beer,14.37779021
The Brass Lantern,Black Porter,beer,14.46892038
The Kit Kat Klub,One Porter,beer,9.977379538
The Snug,Blonde Sur Lie,beer,12.38055285
Dexter Lake Club,HefeWeizen,beer,12.88743481
"The Hand & Racquet, East Cheam",Original White Ale,beer,13.06052528
The Rose & Crown,Maibock,beer,10.02560655
The Learned Goat,Salvation,beer,14.13766106
The Winchester Tavern,Weissbier,beer,11.20937054
The Earl Of Osbourne,Oktoberfest,beer,12.51963075
Kelcy's,Western Lager,beer,9.238246411
Table Salt,Nachos,food,12.22
Torchy's,Dark,beer,15.5934296
John McRory's Place,Ale,beer,11.68362194
Quark's,Weizen-Eisbock,beer,11.21464158
Maccadam's Old Oil House,Pheasant,beer,11.45419828
Salty Sailor Tavern,Dark,beer,15.5934296
The Yellow Flag,Summer Shandy,beer,8.400148632
Friendsy's,Mom Hefeweizen,beer,9.680879689
The Snug,Blanca Nut Brown Al,beer,9.686112224
Trees Lounge,Vintage Ale,beer,15.78488259
The Spotted Dog,Easy Beer,beer,14.53121356
The Drunken Clam,Bear Ultra Blonde,beer,14.18233341
O'Malley's,Turbodog,beer,10.46603984
SaxonwoldShebeen,Liberty Ale,beer,12.14123845
Noah's Bar,Red Tail Ale,beer,14.8744648
Boobies,Genuine Draft,beer,16.23640342
Noah's Bar,Hammer Imperial Porter,beer,14.3947359
Noah's Bar,Winter Warmer,beer,13.6397164
Gus's Galaxy Grill,Amber Classic,beer,12.53283923
Lusty Leopard,Dancing Man Wheat,beer,12.65655364
The Woolpack,Premium Pils,beer,14.19810353
Deville,Golden Pilsner,beer,14.37779021
The Leaky Cauldron,Hazelnut Brown Nectar,beer,12.72698446
Fangtasia,XXX Stout,beer,8.9360418
Puzzles,Mom Hefeweizen,beer,13.68087969
The Mucky Duck,He'Brew Jewbelation 13 Bar Mitzvah,beer,12.5195135
Mr. Pubbs,Scottish Ale,beer,12.59014746
The Peach Pit,Harbor Real Ale,beer,13.86178177
